Day,Location,Music,Price,Time of Day,Weather,Temperature,Sales,Gross Income,Costs,Profit,Current Money
1,Business,none,$4 ,Morning,Constant,56,55,220,102.5,117.5,20117.5
1,Business,none,$2 ,Lunch,Constant,60,134,268,142,126,20243.5
1,Park,none,$4 ,Afternoon,Constant,58,63,252,106.5,145.5,20389
1,Park,none,$3 ,Evening,Constant,63,48,144,99,45,20434
2,Business,none,$4 ,Morning,Constant,70,60,240,105,135,20569
2,Business,none,$5 ,Lunch,Constant,63,33,165,91.5,73.5,20642.5
2,Park,none,$2 ,Afternoon,Constant,54,141,282,145.5,136.5,20779
2,Business,none,$5 ,Evening,Constant,60,11,55,80.5,-25.5,20753.5
3,Park,none,$3 ,Morning,Constant,67,58,174,104,70,20823.5
3,Park,none,$4 ,Lunch,Constant,64,29,116,89.5,26.5,20850
3,Park,none,$2 ,Afternoon,Constant,61,131,262,140.5,121.5,20971.5
3,Business,none,$5 ,Evening,Constant,55,0,0,75,-75,20896.5
4,Park,none,$4 ,Morning,Constant,60,34,136,92,44,20940.5
4,Park,none,$2 ,Lunch,Constant,56,122,244,136,108,21048.5
4,Business,none,$5 ,Afternoon,Constant,64,34,170,92,78,21126.5
4,Park,none,$3 ,Evening,Constant,64,84,252,117,135,21261.5
5,Park,none,$2 ,Morning,Constant,61,99,198,124.5,73.5,21335
5,Business,none,$2 ,Lunch,Constant,57,103,206,126.5,79.5,21414.5
5,Park,none,$5 ,Afternoon,Constant,60,45,225,97.5,127.5,21542
5,Business,none,$5 ,Evening,Constant,62,6,30,78,-48,21494
6,Business,none,$3 ,Morning,Constant,62,90,270,120,150,21644
6,Park,none,$2 ,Lunch,Constant,65,109,218,129.5,88.5,21732.5
6,Park,none,$2 ,Afternoon,Constant,59,136,272,143,129,21861.5
6,Park,none,$2 ,Evening,Constant,70,87,174,118.5,55.5,21917
7,Park,none,$5 ,Morning,Constant,57,23,115,86.5,28.5,21945.5
7,Park,none,$3 ,Lunch,Constant,55,70,210,110,100,22045.5
7,Business,none,$4 ,Afternoon,Constant,60,51,204,100.5,103.5,22149
7,Park,none,$5 ,Evening,Constant,54,37,185,93.5,91.5,22240.5
8,Business,none,$2 ,Morning,Constant,59,139,278,144.5,133.5,22374
8,Business,none,$4 ,Lunch,Constant,57,55,220,102.5,117.5,22491.5
8,Business,none,$4 ,Afternoon,Constant,58,55,220,102.5,117.5,22609
8,Park,none,$4 ,Evening,Constant,61,44,176,97,79,22688
9,Park,none,$5 ,Morning,Constant,62,11,55,80.5,-25.5,22662.5
9,Park,none,$5 ,Lunch,Constant,56,33,165,91.5,73.5,22736
9,Business,none,$2 ,Afternoon,Constant,60,123,246,136.5,109.5,22845.5
9,Business,none,$2 ,Evening,Constant,55,51,102,100.5,1.5,22847
10,Park,none,$4 ,Morning,Constant,66,54,216,102,114,22961
10,Business,none,$5 ,Lunch,Constant,64,25,125,87.5,37.5,22998.5
10,Park,none,$4 ,Afternoon,Constant,65,46,184,98,86,23084.5
10,Park,none,$5 ,Evening,Constant,60,18,90,84,6,23090.5
11,Business,none,$3 ,Morning,Constant,63,69,207,109.5,97.5,23188
11,Business,none,$4 ,Lunch,Constant,61,56,224,103,121,23309
11,Business,none,$2 ,Afternoon,Constant,58,128,256,139,117,23426
