Day,Location,Music,Price,Time of Day,Weather,Temperature,Sales,Gross Income,Costs,Profit,Current Money
1,Park,none,$3 ,Morning,Constant,61,67,201,108.5,92.5,20092.5
1,Business,none,$5 ,Lunch,Constant,59,42,210,96,114,20206.5
1,Business,none,$3 ,Afternoon,Constant,60,88,264,119,145,20351.5
1,Business,none,$4 ,Evening,Constant,63,4,16,77,-61,20290.5
2,Business,none,$5 ,Morning,Constant,57,21,105,85.5,19.5,20310
2,Business,none,$5 ,Lunch,Constant,69,21,105,85.5,19.5,20329.5
2,Park,none,$2 ,Afternoon,Constant,62,125,250,137.5,112.5,20442
2,Business,none,$5 ,Evening,Constant,59,0,0,75,-75,20367
3,Business,none,$5 ,Morning,Constant,54,48,240,99,141,20508
3,Park,none,$2 ,Lunch,Constant,65,109,218,129.5,88.5,20596.5
3,Business,none,$4 ,Afternoon,Constant,55,63,252,106.5,145.5,20742
3,Park,none,$5 ,Evening,Constant,58,21,105,85.5,19.5,20761.5
4,Business,none,$3 ,Morning,Constant,60,89,267,119.5,147.5,20909
4,Business,none,$4 ,Lunch,Constant,64,56,224,103,121,21030
4,Park,none,$2 ,Afternoon,Constant,58,156,312,153,159,21189
4,Business,none,$4 ,Evening,Constant,62,18,72,84,-12,21177
5,Business,none,$4 ,Morning,Constant,61,42,168,96,72,21249
5,Business,none,$2 ,Lunch,Constant,51,122,244,136,108,21357
5,Park,none,$4 ,Afternoon,Constant,56,67,268,108.5,159.5,21516.5
5,Business,none,$3 ,Evening,Constant,61,32,96,91,5,21521.5
6,Park,none,$3 ,Morning,Constant,64,57,171,103.5,67.5,21589
6,Park,none,$5 ,Lunch,Constant,55,36,180,93,87,21676
6,Business,none,$3 ,Afternoon,Constant,53,90,270,120,150,21826
6,Park,none,$5 ,Evening,Constant,61,36,180,93,87,21913
7,Park,none,$2 ,Morning,Constant,63,103,206,126.5,79.5,21992.5
7,Business,none,$3 ,Lunch,Constant,54,80,240,115,125,22117.5
7,Business,none,$4 ,Afternoon,Constant,71,34,136,92,44,22161.5
7,Park,none,$5 ,Evening,Constant,46,18,90,84,6,22167.5
8,Park,none,$5 ,Morning,Constant,60,18,90,84,6,22173.5
8,Park,none,$5 ,Lunch,Constant,65,31,155,90.5,64.5,22238
8,Park,none,$2 ,Afternoon,Constant,67,138,276,144,132,22370
8,Business,none,$2 ,Evening,Constant,56,42,84,96,-12,22358
9,Park,none,$4 ,Morning,Constant,50,35,140,92.5,47.5,22405.5
9,Business,none,$2 ,Lunch,Constant,56,125,250,137.5,112.5,22518
9,Park,none,$2 ,Afternoon,Constant,66,132,264,141,123,22641
9,Park,none,$3 ,Evening,Constant,60,63,189,106.5,82.5,22723.5
10,Business,none,$3 ,Morning,Constant,59,103,309,126.5,182.5,22906
10,Park,none,$2 ,Lunch,Constant,59,119,238,134.5,103.5,23009.5
10,Business,none,$4 ,Afternoon,Constant,58,39,156,94.5,61.5,23071
10,Park,none,$5 ,Evening,Constant,52,35,175,92.5,82.5,23153.5
11,Business,none,$2 ,Morning,Constant,61,123,246,136.5,109.5,23263
11,Business,none,$4 ,Lunch,Constant,58,61,244,105.5,138.5,23401.5
11,Business,none,$2 ,Afternoon,Constant,56,116,232,133,99,23500.5
11,Park,none,$3 ,Evening,Constant,62,69,207,109.5,97.5,23598
12,Park,none,$5 ,Morning,Constant,59,2,10,76,-66,23532
12,Park,none,$3 ,Lunch,Constant,61,67,201,108.5,92.5,23624.5
12,Park,none,$5 ,Afternoon,Constant,61,42,210,96,114,23738.5
12,Business,none,$2 ,Evening,Constant,58,56,112,103,9,23747.5
13,Business,none,$4 ,Morning,Constant,57,52,208,101,107,23854.5
13,Park,none,$3 ,Lunch,Constant,50,62,186,106,80,23934.5
13,Park,none,$2 ,Afternoon,Constant,63,133,266,141.5,124.5,24059
13,Park,none,$4 ,Evening,Constant,60,60,240,105,135,24194
14,Business,none,$5 ,Morning,Constant,55,55,275,102.5,172.5,24366.5
14,Business,none,$3 ,Lunch,Constant,47,87,261,118.5,142.5,24509
14,Park,none,$4 ,Afternoon,Constant,50,67,268,108.5,159.5,24668.5
14,Business,none,$2 ,Evening,Constant,54,60,120,105,15,24683.5
15,Park,none,$2 ,Morning,Constant,58,108,216,129,87,24770.5
15,Business,none,$3 ,Lunch,Constant,59,76,228,113,115,24885.5
15,Park,none,$4 ,Afternoon,Constant,56,64,256,107,149,25034.5
15,Business,none,$3 ,Evening,Constant,65,36,108,93,15,25049.5
16,Business,none,$3 ,Morning,Constant,54,82,246,116,130,25179.5
16,Park,none,$5 ,Lunch,Constant,54,33,165,91.5,73.5,25253
16,Business,none,$5 ,Afternoon,Constant,56,43,215,96.5,118.5,25371.5
16,Park,none,$2 ,Evening,Constant,67,105,210,127.5,82.5,25454
17,Park,none,$4 ,Morning,Constant,57,25,100,87.5,12.5,25466.5
17,Business,none,$4 ,Lunch,Constant,59,46,184,98,86,25552.5
17,Business,none,$3 ,Afternoon,Constant,63,66,198,108,90,25642.5
17,Business,none,$5 ,Evening,Constant,57,16,80,83,-3,25639.5
18,Park,none,$2 ,Morning,Constant,64,98,196,124,72,25711.5
18,Park,none,$2 ,Lunch,Constant,57,92,184,121,63,25774.5
18,Park,none,$4 ,Afternoon,Constant,59,52,208,101,107,25881.5
18,Park,none,$3 ,Evening,Constant,65,61,183,105.5,77.5,25959
19,Park,none,$5 ,Morning,Constant,60,14,70,82,-12,25947
19,Business,none,$2 ,Lunch,Constant,62,117,234,133.5,100.5,26047.5
19,Business,none,$5 ,Afternoon,Constant,61,18,90,84,6,26053.5
19,Park,none,$2 ,Evening,Constant,65,86,172,118,54,26107.5
20,Park,none,$3 ,Morning,Constant,58,68,204,109,95,26202.5
20,Business,none,$2 ,Lunch,Constant,64,117,234,133.5,100.5,26303
20,Park,none,$3 ,Afternoon,Constant,53,97,291,123.5,167.5,26470.5
20,Business,none,$3 ,Evening,Constant,65,23,69,86.5,-17.5,26453
21,Park,none,$4 ,Morning,Constant,59,56,224,103,121,26574
21,Park,none,$3 ,Lunch,Constant,60,82,246,116,130,26704
21,Park,none,$3 ,Afternoon,Constant,55,92,276,121,155,26859
21,Business,none,$2 ,Evening,Constant,62,48,96,99,-3,26856
22,Park,none,$3 ,Morning,Constant,64,67,201,108.5,92.5,26948.5
22,Park,none,$5 ,Lunch,Constant,48,33,165,91.5,73.5,27022
22,Park,none,$5 ,Afternoon,Constant,55,47,235,98.5,136.5,27158.5
22,Business,none,$3 ,Evening,Constant,64,19,57,84.5,-27.5,27131
23,Business,none,$2 ,Morning,Constant,64,118,236,134,102,27233
23,Park,none,$4 ,Lunch,Constant,63,42,168,96,72,27305
23,Business,none,$4 ,Afternoon,Constant,53,58,232,104,128,27433
23,Park,none,$3 ,Evening,Constant,62,82,246,116,130,27563
24,Park,none,$2 ,Morning,Constant,56,90,180,120,60,27623
