Region,Age,Length,Paw,NoseBlack,Weight,Sex
0,7.3,68,3.9,0.35,262,female
0,4.6,70,3.7,0.3,266,female
0,9.3,66,3.4,0.61,233,female
0,1.1,51,2.7,0.01,30,female
0,4.1,70,3.5,0.19,259,female
2,6.1,69,3.4,0.23,264,female
2,2.3,60,3.1,0.03,180,female
0,1.7,52,2.9,0.04,153,female
0,6.7,75,3.7,0.43,309,male
1,1.9,69,3.5,0.04,271,female
0,1.2,53,2.8,0.06,155,female
1,10.4,70,4,0.72,280,female
1,7.2,65,3.3,0.28,239,female
1,1.3,53,3,0.02,131,female
1,17.7,70,3.5,0.94,271,female
1,3.7,65,3.5,0.1,253,female
1,0.8,55,2.8,0.02,122,male
1,11.7,70,3.5,0.75,269,female
1,8.3,71,4,0.42,286,female
3,6.8,76,4.3,0.35,389,male
3,6.9,71,3.3,0.42,263,female
3,2.9,64,3.5,0.08,203,male
3,2.1,55,3.3,0.01,148,male
3,17.2,76,4.8,0.99,350,male
4,4,81,4.3,0.2,382,male
3,7.6,74,4.2,0.35,360,male
4,3.7,72,3.8,0.15,294,male
4,5.8,75,4.6,0.33,358,male
3,8,66,3.6,0.41,252,female
